,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
2,Rikitea,33,PF,1604379968,79,-23.12,-134.97,72.01,18.05
3,East London,0,ZA,1604379969,93,-33.02,27.91,64.4,4.7
4,Mataura,0,NZ,1604379970,67,-46.19,168.86,59.0,8.99
6,Luganville,90,VU,1604379973,100,-15.53,167.17,75.2,5.39
8,Daru,94,PG,1604379976,74,-9.08,143.21,84.15,14.67
9,Vaini,75,TO,1604379977,83,-21.2,-175.2,77.0,12.75
10,Atuona,2,PF,1604379978,76,-9.8,-139.03,77.76,19.42
13,Bambanglipuro,42,ID,1604379982,68,-7.95,110.28,84.61,8.3
15,Port Alfred,14,ZA,1604379984,80,-33.59,26.89,68.86,19.17
31,Busselton,74,AU,1604380005,35,-33.65,115.33,73.0,9.69
33,Cape Town,0,ZA,1604379922,87,-33.93,18.42,63.0,4.7
34,Antofagasta,90,CL,1604380009,77,-23.65,-70.4,59.0,4.7
36,Vao,100,NC,1604380012,87,-22.67,167.48,75.31,14.16
37,Punta Arenas,0,CL,1604380013,66,-53.15,-70.92,48.2,6.93
39,Saint-Philippe,90,RE,1604380016,53,-21.36,55.77,77.0,14.99
40,Springbok,92,ZA,1604380017,39,-29.66,17.89,63.59,0.6
42,Wewak,47,PG,1604380020,65,-3.55,143.63,86.74,8.01
43,Carnarvon,0,AU,1604380021,47,-24.87,113.63,77.0,24.16
44,Bluff,0,NZ,1604380023,67,-46.6,168.33,59.0,8.99
45,Esperance,90,AU,1604379791,87,-33.87,121.9,60.8,17.22
47,Coquimbo,6,CL,1604380028,93,-29.95,-71.34,53.6,6.93
50,Hermanus,19,ZA,1604380032,82,-34.42,19.23,66.0,7.0
58,Ushuaia,0,AR,1604379881,87,-54.8,-68.3,44.6,0.6
60,Lebu,34,CL,1604380045,93,-37.62,-73.65,49.68,10.11
62,Balsas,94,BR,1604379858,86,-7.53,-46.04,73.51,2.73
64,Constitución,49,CL,1604380050,89,-35.33,-72.42,51.73,7.72
71,Grand Gaube,49,MU,1604380059,60,-20.01,57.66,77.0,5.99
75,Cidreira,9,BR,1604380065,78,-30.18,-50.21,61.18,6.06
76,Hithadhoo,100,MV,1604380066,77,-0.6,73.08,80.71,6.11
77,Avarua,100,CK,1604380068,78,-21.21,-159.78,75.2,12.75
78,Mar del Plata,0,AR,1604379843,93,-38.0,-57.56,59.0,3.36
79,Geraldton,40,AU,1604380071,56,-28.77,114.6,73.4,16.11
84,Kaitangata,0,NZ,1604380077,72,-46.28,169.85,59.0,5.99
91,Chicama,98,PE,1604380087,86,-7.84,-79.15,60.1,3.6
92,Pangkalanbuun,100,ID,1604380088,55,-2.68,111.62,90.14,4.23
96,Airai,94,TL,1604380093,41,-8.93,125.41,81.39,3.51
109,Hobart,75,AU,1604379993,32,-42.88,147.33,84.99,17.22
115,Castro,99,BR,1604379943,87,-24.79,-50.01,51.96,10.74
117,Bambous Virieux,40,MU,1604380122,64,-20.34,57.76,77.0,13.87
119,Wellington,100,NZ,1604380124,93,-41.29,174.78,55.99,4.7
120,Port Lincoln,100,AU,1604380097,34,-34.73,135.87,81.34,17.81
